tipo,imagem,x1,y1,x2,y2,conf
FP,157_jpg.rf.dfff1d8f6363275c6ff778b7134a85a4.jpg,525,422,569,431,0.345
FP,55_jpg.rf.4871fb18f5ed8303974d40b26ec48a60.jpg,293,608,342,647,0.317
FP,G0010768_jpg.rf.72819363595b4200473ec88dee7dd6f1.jpg,677,495,770,521,0.301
FP,G0010770_jpg.rf.863ed7ebd7c63f56f0096530ec445182.jpg,761,549,886,571,0.386
FP,G0010770_jpg.rf.863ed7ebd7c63f56f0096530ec445182.jpg,760,551,813,568,0.256
FP,G0011595_jpg.rf.a2cbb9df89c99ee9e339dc7dd461e4fa.jpg,337,582,446,602,0.377
FP,G0025388_jpg.rf.7d51fca9306df739701d293bf7e4ab1c.jpg,729,573,776,591,0.313
FP,G0028271_jpg.rf.a15447c9a70376fd28e1e9c1db22bb87.jpg,605,533,664,552,0.392
FP,G0028271_jpg.rf.a15447c9a70376fd28e1e9c1db22bb87.jpg,233,512,276,521,0.371
FP,G0028271_jpg.rf.a15447c9a70376fd28e1e9c1db22bb87.jpg,410,478,460,507,0.343
FP,G0028271_jpg.rf.a15447c9a70376fd28e1e9c1db22bb87.jpg,409,484,440,505,0.319
FP,G0028271_jpg.rf.a15447c9a70376fd28e1e9c1db22bb87.jpg,313,495,339,504,0.284
FP,G0029086_jpg.rf.fa8fcfd10869801ff9c253b8765686c8.jpg,821,534,854,546,0.419
FP,G0032513_jpg.rf.f47c630a4e3a6af9eab991ce30595084.jpg,517,586,567,600,0.336
FP,G0032515_jpg.rf.ff88fafcd99c946ca02ca8c4fe60886a.jpg,379,576,453,606,0.312
FP,G0052416_jpg.rf.244b1fabf208e6d0c2ade66dd107751b.jpg,626,464,664,472,0.404
FP,G0066127_jpg.rf.a72674ce405e8fc237122675dd6688de.jpg,824,443,849,451,0.343
FP,G0066127_jpg.rf.a72674ce405e8fc237122675dd6688de.jpg,763,441,788,449,0.319
FP,G0066127_jpg.rf.a72674ce405e8fc237122675dd6688de.jpg,764,437,790,448,0.277
FP,G0066127_jpg.rf.a72674ce405e8fc237122675dd6688de.jpg,595,453,642,468,0.271
FP,G0066563_jpg.rf.6f0a4d8425d8eac97ce07dbb0e6a3808.jpg,779,483,868,501,0.443
FP,G0066563_jpg.rf.6f0a4d8425d8eac97ce07dbb0e6a3808.jpg,842,482,867,492,0.267
FP,G0066586_jpg.rf.4374c635329a31a6c7dd5aa767267111.jpg,458,498,534,519,0.455
FP,G0066622_jpg.rf.f86020ab91cfdada7e03085625e4d8a4.jpg,750,460,814,475,0.398
FP,G0066622_jpg.rf.f86020ab91cfdada7e03085625e4d8a4.jpg,643,449,669,459,0.345
FP,G0066703_jpg.rf.527327930b3379a832dbb3890d4e3136.jpg,709,468,752,482,0.273
FP,G0090339_jpg.rf.38a9d71871782efc08f7b83b5775dc14.jpg,751,450,864,475,0.431
FP,G0090339_jpg.rf.38a9d71871782efc08f7b83b5775dc14.jpg,847,489,873,499,0.3
FP,G0094462_jpg.rf.1b27b5dd93fea0da397a9ca82d10b029.jpg,707,536,729,545,0.438
FP,Image_27_jpg.rf.692528b0a9390fc3a7c9a4fa4a0b2b56.jpg,1090,636,1221,697,0.74
FP,Image_5_jpg.rf.cf767a4d86809131cd058b5c1223741f.jpg,727,578,804,598,0.293
FP,Image_5_jpg.rf.cf767a4d86809131cd058b5c1223741f.jpg,729,575,805,588,0.252
FP,img-105_jpg.rf.e7752085648276ed60f95df017e35b4b.jpg,334,297,442,368,0.689
FP,img-105_jpg.rf.e7752085648276ed60f95df017e35b4b.jpg,299,363,349,410,0.371
FP,img-105_jpg.rf.e7752085648276ed60f95df017e35b4b.jpg,0,0,143,49,0.256
FP,img-107_jpg.rf.d9a66cd4a7aa0730a4e94c3e9831ab62.jpg,604,10,674,31,0.569
FP,img-161_jpg.rf.d4be4442de90b4e05debc98337790ebd.jpg,288,292,467,378,0.29
FP,img-195_jpg.rf.2303522bcd9c12fa2e2cb29e9e2c3e5e.jpg,449,494,587,592,0.764
FP,img-196_jpg.rf.a9fe9a8fe50fab3d4c9f7e2f3c8de4e6.jpg,356,202,530,292,0.424
FP,img-23_jpg.rf.a1bc6558b5a7512393125303075b9585.jpg,355,141,438,180,0.265
FP,img-264_jpg.rf.fef7ce5e27046b7f90decccdb2edf084.jpg,338,371,720,720,0.32
FP,img-269_jpg.rf.21d73afda4776932e3e835c40f28dd8e.jpg,630,85,674,101,0.363
FP,img-276_jpg.rf.23e46a35e634cf0a107a98e13ea2d9f3.jpg,485,480,544,538,0.356
FP,img-276_jpg.rf.23e46a35e634cf0a107a98e13ea2d9f3.jpg,640,193,681,207,0.315
FP,img-282_jpg.rf.c21784c1c12cf38cbbd64087043f4d8a.jpg,231,232,404,387,0.725
FP,img-300_jpg.rf.f9eab7bbbe7e231578e39565d273ce52.jpg,151,146,253,182,0.538
FP,img-300_jpg.rf.f9eab7bbbe7e231578e39565d273ce52.jpg,123,67,144,71,0.298
FP,img-308_jpg.rf.17e12b2e0910ee72298ce37362621c6d.jpg,261,185,318,216,0.404
