conf,P,R,F1
0.05,0.3425101214574899,0.6746411483253588,0.45435016111707843
0.1,0.4578884934756821,0.6156299840510366,0.5251700680272109
0.15,0.5253731343283582,0.5614035087719298,0.5427910562837316
0.2,0.5701754385964912,0.518341307814992,0.5430242272347536
0.25,0.6192384769539078,0.49282296650717705,0.5488454706927175
0.3,0.668235294117647,0.4529505582137161,0.5399239543726235
0.35,0.712707182320442,0.41148325358851673,0.5217391304347825
0.4,0.7667731629392971,0.3827751196172249,0.5106382978723405
0.45,0.7978339350180506,0.3524720893141946,0.48893805309734517
0.5,0.8382978723404255,0.3141945773524721,0.45707656612529
0.55,0.8564356435643564,0.2759170653907496,0.41737032569360677
0.6,0.9074074074074074,0.23444976076555024,0.3726235741444867
0.65,0.9264705882352942,0.20095693779904306,0.3302752293577982
0.7,0.97,0.1547049441786284,0.2668500687757909
0.75,0.9859154929577465,0.11164274322169059,0.20057306590257878
0.8,1.0,0.06220095693779904,0.11711711711711711
0.85,1.0,0.007974481658692184,0.01582278481012658
0.9,0.0,0.0,0.0
