modelo,tarefa,split,imgsz,box_mAP50,box_mAP5095,box_P,box_R,TP,FP,FN,mask_mAP50,mask_mAP5095,mask_P,mask_R
det_s,det,val,640,0.4985,0.2976,0.6192,0.4928,309,190,318,,,,
det_s,det,test,640,0.4869,0.2873,0.6452,0.5185,280,154,260,,,,
baseline_n,det,val,640,0.4373,0.2338,0.6398,0.4306,270,152,357,,,,
baseline_n,det,test,640,0.4215,0.2007,0.6121,0.45,243,154,297,,,,
det_s800,det,val,800,0.5076,0.3023,0.6474,0.5008,314,171,313,,,,
det_s800,det,test,800,0.5171,0.3058,0.655,0.4852,262,138,278,,,,
det_m,det,val,640,0.4912,0.2882,0.639,0.4545,285,161,342,,,,
det_m,det,test,640,0.5018,0.2837,0.6744,0.487,263,127,277,,,,
seg_s,seg,val,640,0.5085,0.2969,0.6492,0.5136,322,174,305,0.3056,0.1321,0.4488,0.3636
seg_s,seg,test,640,0.4933,0.2925,0.6634,0.4963,268,136,272,0.3193,0.1556,0.5531,0.35
